PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
286,O,3,3,R,20,Pass,Complete,2,DOS LT,,,,,1,ODD,,J3,1
287,O,4,1,M,18,Run,Rush,2,VELOCI,,,,,,ODD,,,1
288,O,1,10,R,16,Run,Rush,3,DOS RT FLIP,,,,,,ODD,,,1
289,O,2,10,M,14,Pass,"Complete, TD",14,DOS RT FLIP,,,,,7,ODD,,SCJ3,2
290,D,1,10,M,-21,Run,Rush,0,DOUBLES,,R,,,,4-2,BLUE,,2
291,D,2,10,M,-21,Pass,Complete,1,DOUBLES,,BAL,L,,,4-1,BLUE,,2
292,D,3,9,L,-22,Pass,Complete,1,DOUBLES,,BAL,,,,3-3,TAMPA,,2
293,O,1,10,L,41,Pass,Incomplete,0,NEAR RT,,,,,9,ODD,,,2
294,O,2,10,L,41,Pass,Complete,8,DOS RT FLIP,,,,,3,ODD,,SD,2
295,O,3,2,R,33,,Timeout,0,,,,,,,ODD,,,2
296,O,,,,,,,,,,,,,,,,,2
297,O,3,2,R,33,Run,Rush,7,ACE LT,,,,,,ODD,,,2
298,O,1,10,R,26,Pass,Scramble,1,NEAR LT,,,,,,ODD,,,2
299,O,2,9,L,25,Run,Rush,12,DOS RT,,,,,,ODD,,SCJ3,2
300,O,1,10,L,13,Run,Rush,8,NEAR RT,,,,,,ODD,,,2
301,O,2,2,L,5,Run,Rush,3,Trey RT,,,,,,ODD,,,2
302,O,1,2,M,2,Run,"Rush, TD",2,ACE,,,,,,ODD,,SCJ3,2
303,D,1,10,R,-41,Pass,Complete,11,LT TRIPS,,L,,,,4-2,ROLL,,2
304,D,1,10,M,48,Pass,Complete,17,DOUBLES,,BAL,R,,,4-1,BLUE,,2
305,D,1,10,M,31,Pass,Complete,6,DOUBLES STACK,,BAL,R,,,4-1,BLUE,,2
306,D,2,4,R,25,Run,Rush,7,DOS,,R,R,,,4-2,ROLL,,2
307,D,1,10,R,18,Run,Rush,3,DOUBLES,COUGAR,BAL,,,,4-2,BLUE,,2
308,D,2,7,R,15,Run,Penalty,-5,DOUBLES,,BAL,,,,4-2,BLUE,,2
309,D,2,12,R,20,Pass,Complete,5,DOUBLES,LASER,BAL,R,,,4-2,TAMPA,,2
